"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Test the OrangeHRM functionality","1","0","Navigate to Admin tab and get initial user record count","0"
"0","","0","Test the OrangeHRM functionality","1","0","Add a new user to the system","0"
"0","","0","Test the OrangeHRM functionality","1","0","Delete the newly added user and verify","0"
"0","","0","Test the OrangeHRM functionality","1","0","Login with valid username and password","0"
"0","","0","Test the OrangeHRM functionality","1","0","Navigate to PIM tab and add new employee","0"
"0","","0","Test the OrangeHRM functionality","1","0","Search for the newly added user","0"
